Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Afghanistan","AFG","National","AFGt","Total",,,,,,,,,,,0.325,0.364,0.403,0.442,0.481,0.520,0.535,0.551,0.566,0.582,0.597,0.607,0.617,0.627,0.635,0.640,0.646,0.658,0.662,0.658
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",,,,,,,,,,,0.394,0.427,0.461,0.494,0.528,0.561,0.575,0.590,0.604,0.619,0.633,0.640,0.650,0.660,0.668,0.673,0.679,0.693,0.698,0.695
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",,,,,,,,,,,0.301,0.350,0.399,0.449,0.498,0.547,0.566,0.585,0.603,0.622,0.641,0.655,0.664,0.675,0.683,0.688,0.695,0.706,0.709,0.705
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",,,,,,,,,,,0.266,0.301,0.336,0.372,0.407,0.442,0.456,0.469,0.483,0.496,0.510,0.520,0.528,0.538,0.545,0.549,0.555,0.566,0.568,0.565
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",,,,,,,,,,,0.297,0.345,0.393,0.442,0.490,0.538,0.556,0.574,0.592,0.610,0.628,0.648,0.664,0.680,0.693,0.702,0.709,0.722,0.726,0.722
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",,,,,,,,,,,0.344,0.386,0.428,0.469,0.511,0.553,0.570,0.587,0.605,0.622,0.639,0.640,0.639,0.640,0.638,0.633,0.640,0.652,0.654,0.651
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",,,,,,,,,,,0.246,0.278,0.309,0.341,0.372,0.404,0.416,0.428,0.440,0.452,0.464,0.483,0.499,0.514,0.524,0.532,0.537,0.547,0.549,0.547
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",,,,,,,,,,,0.245,0.279,0.313,0.348,0.382,0.416,0.428,0.441,0.453,0.466,0.478,0.495,0.510,0.525,0.538,0.548,0.554,0.562,0.564,0.561
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",,,,,,,,,,,0.329,0.374,0.420,0.465,0.511,0.556,0.574,0.591,0.609,0.626,0.644,0.650,0.653,0.658,0.660,0.659,0.666,0.678,0.681,0.677
"Albania","ALB","National","ALBt","Total",,,,,,,,,,,0.935,0.936,0.938,0.939,0.941,0.942,0.946,0.950,0.954,0.958,0.962,0.956,0.972,0.966,0.964,0.969,0.964,0.964,0.970,0.966
"Albania","ALB","Subnat","ALBr201"," Berat",,,,,,,,,,,0.938,0.939,0.941,0.942,0.944,0.945,0.948,0.952,0.955,0.959,0.962,0.954,0.967,0.959,0.954,0.956,0.949,0.947,0.953,0.950
"Albania","ALB","Subnat","ALBr202"," Diber",,,,,,,,,,,0.925,0.926,0.928,0.929,0.931,0.932,0.937,0.942,0.948,0.953,0.958,0.952,0.967,0.960,0.957,0.961,0.956,0.955,0.961,0.958
"Albania","ALB","Subnat","ALBr203"," Durres",,,,,,,,,,,0.927,0.928,0.930,0.931,0.933,0.934,0.943,0.952,0.961,0.970,0.979,0.971,0.985,0.977,0.972,0.974,0.967,0.966,0.971,0.968
