Country,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Afghanistan","AFG","National","AFGt","Total",50.30,51.00,51.60,52.30,52.80,53.40,53.90,54.40,54.90,55.40,55.80,56.30,56.80,57.30,57.80,58.30,58.80,59.40,59.90,60.50,61.00,61.60,62.10,62.50,63.00,63.40,63.80,64.10,64.50,64.80
"Afghanistan","AFG","Subnat","AFGr101","Central (Kabul Wardak Kapisa Logar Parwan Panjsher)",51.40,52.12,52.73,53.45,53.96,54.57,55.08,55.59,56.10,56.62,57.02,57.53,58.05,58.56,59.07,59.58,60.09,60.70,61.21,61.83,62.34,63.06,63.67,64.18,64.80,65.30,65.72,66.02,66.44,66.75
"Afghanistan","AFG","Subnat","AFGr102","Central Highlands (Bamyan Daikundi)",48.59,49.26,49.84,50.52,51.00,51.58,52.07,52.55,53.03,53.51,53.90,54.38,54.87,55.35,55.83,56.32,56.80,57.38,57.86,58.44,58.92,60.04,61.06,61.96,62.96,63.84,64.25,64.55,64.95,65.25
"Afghanistan","AFG","Subnat","AFGr103","East (Nangarhar Kunar Laghman Nooristan)",54.11,54.86,55.50,56.26,56.80,57.44,57.98,58.52,59.05,59.59,60.02,60.56,61.10,61.64,62.17,62.71,63.25,63.89,64.43,65.08,65.62,65.16,64.61,63.98,63.47,62.88,63.27,63.57,63.97,64.27
"Afghanistan","AFG","Subnat","AFGr104","North (Samangan Sar-e-Pul Balkh Jawzjan Faryab)",48.57,49.24,49.82,50.50,50.98,51.56,52.05,52.53,53.01,53.49,53.88,54.36,54.85,55.33,55.81,56.29,56.78,57.36,57.84,58.42,58.90,59.69,60.38,60.97,61.65,62.24,62.63,62.92,63.31,63.61
"Afghanistan","AFG","Subnat","AFGr105","North East (Baghlan Takhar Badakhshan Kunduz)",50.63,51.34,51.94,52.64,53.15,53.75,54.25,54.76,55.26,55.76,56.17,56.67,57.17,57.68,58.18,58.68,59.19,59.79,60.29,60.90,61.40,61.60,61.71,61.73,61.85,61.88,62.27,62.57,62.96,63.25
"Afghanistan","AFG","Subnat","AFGr106","South (Uruzgan Helmand Zabul Nimroz Kandahar)",53.45,54.19,54.83,55.57,56.11,56.74,57.27,57.81,58.34,58.87,59.29,59.82,60.36,60.89,61.42,61.95,62.48,63.12,63.65,64.29,64.82,64.60,64.28,63.88,63.60,63.23,63.62,63.92,64.32,64.62
"Afghanistan","AFG","Subnat","AFGr107","South East (Ghazni Paktya Paktika Khost)",48.37,49.05,49.62,50.30,50.78,51.35,51.83,52.32,52.80,53.28,53.66,54.14,54.62,55.10,55.59,56.07,56.55,57.12,57.60,58.18,58.66,60.26,61.75,63.12,64.58,65.91,66.32,66.64,67.05,67.36
"Afghanistan","AFG","Subnat","AFGr108","West (Ghor Herat Badghis Farah)",48.13,48.80,49.38,50.05,50.53,51.10,51.58,52.06,52.54,53.02,53.40,53.88,54.36,54.83,55.31,55.79,56.27,56.84,57.32,57.90,58.37,59.39,60.30,61.10,61.99,62.78,63.18,63.48,63.87,64.17
"Albania","ALB","National","ALBt","Total",71.80,71.80,71.80,71.90,72.00,72.20,72.50,72.80,73.20,73.60,74.00,74.30,74.60,74.80,75.00,75.20,75.40,75.60,75.90,76.20,76.60,76.90,77.30,77.60,77.80,78.00,78.20,78.30,78.50,78.60
